TopicEng	TopicKor	TopicViet	TopicDetailEng	TopicDetailKor	TopicDetailVet	No	QuestionsEng	QuestionsKor	QuestionsViet	AnswersEng	AnswersKor	AudioQuestionsEng	AudioQuestionsKor
Music	음악	Âm nhạc	When, where, and how you enjoy music	음악을 즐기는 시간, 장소, 방법	Thời gian, địa điểm và cách thưởng thức âm nhạc	2	When and where do you usually listen to music? Do you listen to the radio? Are you going to a concert? Let us know how you enjoy the music	보통 언제, 어디서 음악을 들으십니까? 라디오를 들으십니까? 콘서트에 가십니까? 음악을 즐기시는 방법에 대해 말씀해 주십시오.	Bạn thường nghe nhạc khi nào và ở đâu? Bạn có nghe radio không? Bạn có đi xem hòa nhạc không? Hãy kể về cách bạn thưởng thức âm nhạc.	"- I usually listen to music every day, especially in the evening after work or study. I often listen to music at home when I want to relax, and sometimes when I’m traveling, like on the bus or motorbike. Music helps me feel comfortable and reduces stress.
- I don’t listen to the radio very often now. In the past, I listened to the radio at home with my family, but these days I usually use my phone to listen to music on music apps because it’s more convenient.
- I don’t go to concerts very often, but I would like to go if my favorite singer has a live show nearby. I really enjoy music by listening quietly, singing along, and sometimes sharing songs with my friends.
"		https://luandai123.github.io/OpicTest/Music_2.mp3	https://luandai123.github.io/OpicTest/K_Music_2.mp3
Music	음악	Âm nhạc	Kinds of musical devices and listening habits	음악 감상 기기 종류와 습관	Thiết bị nghe nhạc và thói quen	3	What kind of musical devices do you use when you listen to music? When and where do you listen to music using them	음악을 들을 때 어떤 종류의 음악 기기를 사용합니까? 언제 어디서 그 것으로 음악을 듣습니까?	Bạn sử dụng loại thiết bị âm nhạc nào khi nghe nhạc? Bạn nghe nhạc bằng thiết bị đó khi nào và ở đâu?	"- When I listen to music, I usually use my smartphone and wireless earphones. These are the devices I use the most because they are very convenient and easy to carry. I always have my phone with me, so I can listen to music anytime.
- I usually listen to music at home, especially in the evening after work. I lie on my bed, wear my earphones, and relax while listening to my favorite songs. It helps me reduce stress and feel calm.
- I also listen to music when I am outside, such as when I am walking, exercising, or waiting for the bus. In these situations, I use my phone and earphones because they block noise and help me focus.
- Sometimes, on weekends, I play music on a small speaker at home. I usually do this when I clean the house or spend time with my family. Music makes these activities more enjoyable.
- Overall, using different devices allows me to enjoy music in many places and situations."		https://luandai123.github.io/OpicTest/Music_3.mp3	https://luandai123.github.io/OpicTest/K_Music_3.mp3
Music	음악	Âm nhạc	Compare two singers / tracks	두 가수 또는 곡 비교	So sánh hai ca sĩ hoặc hai bài hát	4	In the survey, you said you enjoyed listening to music. Select two different tracks or singers and compare them. Please describe each detail and tell us about their similarities and differences	설문조사에서 음악을 즐겨 듣는다고 했습니다. 서로 다른 두 가지 음악 또는 가수를 골라 비교해 주십시오. 둘을 각각 자세히 설명하고 공통점과 차이점에 대해 말씀해 주십시오.	Trong khảo sát, bạn đã nói rằng bạn thích nghe nhạc. Hãy chọn hai thể loại nhạc hoặc ca sĩ khác nhau để so sánh. Hãy mô tả chi tiết từng cái và nói về điểm giống cũng như khác nhau giữa chúng.	"- I would like to compare two singers I enjoy, My Tam and Den Vau. They are both very popular in Vietnam, but they are quite different in many ways.
- First, My Tam is a female singer who mainly sings pop and light ballad music. Her voice is very warm, emotional, and powerful. When I listen to her songs, I feel relaxed and sometimes touched because the lyrics are about love and life. Her songs are easy to listen to and suitable for many ages.
- On the other hand, Den Vau is a male rapper who performs rap and hip-hop music. His songs often talk about real life, dreams, and social issues. His voice is calm and natural, and his lyrics are deep and meaningful. When I listen to Den Vau, I feel motivated and inspired.
- In terms of similarities, both singers write meaningful songs and have a strong message. They are respected artists and have many loyal fans.
- However, their styles, music genres, and voices are very different, which makes each of them special in their own way."		https://luandai123.github.io/OpicTest/Music_4.mp3	https://luandai123.github.io/OpicTest/K_Music_4.mp3
Music	음악	Âm nhạc	Music devices & trends	음악 기기와 트렌드	Xu hướng thiết bị nghe nhạc	5	Are there any devices and electronic devices that are attracting the attention of music lovers today? What products are they interested in and why	요즘 음악 좋아하는 사람들이 주목받는 전자 기기나 장비가 있습니까? 어떤 제품이며 관심을 끌고 있는 이유는 무엇입니까?	Gần đây có thiết bị hoặc dụng cụ điện tử nào đang được những người yêu thích âm nhạc chú ý không? Đó là sản phẩm gì và tại sao nó lại thu hút sự quan tâm?	"- Yes, there are many devices and electronic products that attract the attention of music lovers today. Technology has changed the way people listen to and enjoy music.
- First, wireless earphones  are very popular. Many people like them because they are small, easy to carry, and connect to phones without wires. They are good for listening to music while walking, traveling, or exercising.
- Second, portable Bluetooth speakers are also attracting attention. These speakers are light and can be taken anywhere. Music lovers often bring them to picnics, parks, or beach trips because they can share music with friends.
- Another device that many people like is high-quality headphones. These headphones have excellent sound and noise-cancelling features, so listeners can enjoy music without outside noise. Many people use them at home or during study time.
- Overall, people choose different devices based on how they listen to music and where they are. Technology makes music more enjoyable and easy to access."		https://luandai123.github.io/OpicTest/Music_5.mp3	https://luandai123.github.io/OpicTest/K_Music_5.mp3
Music	음악	Âm nhạc	Memorable live music	기억에 남는 라이브 음악 경험	Trải nghiệm nghe nhạc sống đáng nhớ	6	Is there a particularly memorable time when you listen to live music? When was that? Where is it? Who are you with? What made that performance memorable	라이브 음악을 들었을 때 특별하게 기억에 남는 때가 있었습니까? 언제였습니까? 어디에 누구와 함께 있었습니까? 무엇 때문에 그 공연이 기억에 남습니까?	Bạn đã từng có một khoảnh khắc đặc biệt đáng nhớ khi nghe nhạc trực tiếp chưa? Đó là khi nào? Bạn đã ở đâu và với ai? Điều gì khiến buổi biểu diễn đó đáng nhớ?	"- I remember going to a concert with my wife a few years ago. It was a concert by a Vietnamese singer. 
- The mood of the concert was amazing. The crowd was singing together, and the band performed all their popular songs. People were screaming during the concert and they sang along to most of the songs. The concert was completely sold-out.
- It was unforgettable because it was my first big concert, and being there with my wife made it even more special. 
- The energy, the lights, and the music combined to create a memory that I will always remember.
"		https://luandai123.github.io/OpicTest/Music_6.mp3	https://luandai123.github.io/OpicTest/K_Music_6.mp3
Music	음악	Âm nhạc	Music preferences (past → now)	음악 취향의 변화 (과거→현재)	Sở thích âm nhạc thay đổi theo thời gian	7	How and when did you first become interested in listening to music? How did music influence you? Tell me about it with a lot of details	언제부터 어떻게 처음으로 음악을 듣는 것에 관심을 가지게 되었나요? 음악이 당신에게 어떤 영향을 미쳤나요? 자세한 내용을 이야기해 주세요.	Bạn bắt đầu quan tâm đến việc nghe nhạc từ khi nào và như thế nào? Âm nhạc đã ảnh hưởng đến bạn ra sao? Hãy kể chi tiết.	"- I first became interested in music when I was very young, around six or seven years old. At that time, I usually listened to music with my family at home. My parents often played old Vietnamese songs and traditional music. The melodies were slow and relaxing, so I liked them even though I didn’t understand the lyrics very well.
- When I became a student, my taste in music started to change. I began listening to pop music and light ballads on TV and the radio. I preferred songs with emotional melodies and simple lyrics because they matched my feelings at that age. I also started choosing music by myself and followed some famous singers.
- Now, my taste in music is more diverse than before. I still enjoy pop and light ballads, but I also like rap music with meaningful messages. Music is no longer just for fun. It helps me relax, reduce stress, and express my emotions. Overall, my interest in music has grown and changed naturally over the years."		https://luandai123.github.io/OpicTest/Music_7.mp3	https://luandai123.github.io/OpicTest/K_Music_7.mp3
Music	음악	Âm nhạc	Music preferences (past → now)	음악 취향의 변화 (과거→현재)	Sở thích âm nhạc thay đổi theo thời gian	8	You indicated in the survey that you like listening to music. How has your taste in music changed throughout the years	설문조사에서 음악 듣는 것을 좋아한다고 표시했습니다. 최근 몇년동안 음악에 대한 취향이 어떻게 변했습니까?	Trong khảo sát, bạn đã cho biết bạn thích nghe nhạc. Trong những năm gần đây, sở thích âm nhạc của bạn đã thay đổi như thế nào?	"- I first became interested in music when I was very young, around six or seven years old. At that time, I usually listened to music with my family at home. My parents often played old Vietnamese songs and traditional music. The melodies were slow and relaxing, so I liked them even though I didn’t understand the lyrics very well.
- When I became a student, my taste in music started to change. I began listening to pop music and light ballads on TV and the radio. I preferred songs with emotional melodies and simple lyrics because they matched my feelings at that age. I also started choosing music by myself and followed some famous singers.
- Now, my taste in music is more diverse than before. I still enjoy pop and light ballads, but I also like rap music with meaningful messages. Music is no longer just for fun. It helps me relax, reduce stress, and express my emotions. Overall, my interest in music has grown and changed naturally over the years."		https://luandai123.github.io/OpicTest/Music_8.mp3	https://luandai123.github.io/OpicTest/K_Music_8.mp3
Music	음악	Âm nhạc	Music preferences (past → now)	음악 취향의 변화 (과거→현재)	Sở thích âm nhạc thay đổi theo thời gian	9	When did you first become interested in music? What kinds of music did you like at first? Tell me how your interest in music developed from your childhood until today	처음으로 음악에 관심을 갖게 된 시기는 언제었습니까? 처음에는 어떤 종류의 음악을 좋아했습니까? 어린 시절부터 오늘날까지 음악에 대한 관심이 어떻게 변했는지 이야기해 주십시오.	Bạn bắt đầu quan tâm đến âm nhạc lần đầu tiên là khi nào? Ban đầu bạn thích loại nhạc nào? Hãy kể về việc sở thích âm nhạc của bạn đã thay đổi như thế nào từ thời thơ ấu đến nay.	"- I first became interested in music when I was very young, around six or seven years old. At that time, I usually listened to music with my family at home. My parents often played old Vietnamese songs and traditional music. The melodies were slow and relaxing, so I liked them even though I didn’t understand the lyrics very well.
- When I became a student, my taste in music started to change. I began listening to pop music and light ballads on TV and the radio. I preferred songs with emotional melodies and simple lyrics because they matched my feelings at that age. I also started choosing music by myself and followed some famous singers.
- Now, my taste in music is more diverse than before. I still enjoy pop and light ballads, but I also like rap music with meaningful messages. Music is no longer just for fun. It helps me relax, reduce stress, and express my emotions. Overall, my interest in music has grown and changed naturally over the years."		https://luandai123.github.io/OpicTest/Music_9.mp3	https://luandai123.github.io/OpicTest/K_Music_9.mp3
Walking	걷기	Đi bộ	Walking activities, places, and feelings	걷기 활동, 장소, 느낌	Hoạt động, địa điểm và cảm xúc khi đi bộ	1	You indicated in the survey that you like walking. What kinds of activities do you usually do when you go to walk? How often do you go walking? When and where do you walk? Tell me about it in as much detail as possible	설문지에 걷기를 좋아하신다고 표시하셨습니다. 걸으러 갈 때 보통 어떤 활동을 하십니까? 얼마나 자주 걷습니까? 언제, 어디서 걷습니까? 가능한 한 자세히 이야기해 주십시오.	Trong bảng khảo sát, bạn đã cho biết bạn thích đi bộ. Khi đi bộ, bạn thường làm những hoạt động gì? Bạn đi bộ thường xuyên như thế nào? Bạn đi bộ khi nào và ở đâu? Hãy kể chi tiết nhất có thể.	"- I enjoy going for walks, and it is one of my favorite daily activities.
- When I go walking, I usually do light activities such as listening to music, thinking about my day, or sometimes talking with a friend. I don’t walk fast because I want to relax and enjoy the surroundings.
- I usually go walking in the evening after dinner or early in the morning on weekends.
- The place I go to most often is a nearby park or a quiet street close to my house. These places are clean and safe, and there are many trees, so the air feels fresh.
- I usually go walking alone, but sometimes I walk with a family member or a close friend.
- I go walking about three to four times a week, depending on my schedule and the weather.
- When I walk, I feel calm and comfortable. Walking helps me reduce stress, clear my mind, and improve my health. That is why I really enjoy walking and try to make it a regular habit in my life."		https://luandai123.github.io/OpicTest/Walking_1.mp3	https://luandai123.github.io/OpicTest/K_Walking_1.mp3
Walking	걷기	Đi bộ	Walking activities, places, and feelings	걷기 활동, 장소, 느낌	Hoạt động, địa điểm và cảm xúc khi đi bộ	2	You mentioned that you enjoy walking. Tell me more about what you do when you go for walks. Where do you usually go and how do you feel while walking	걷기를 즐기신다고 말씀하셨습니다. 산책하러 갈 때 무엇을 하시는지 더 자세히 말씀해 주십시오. 주로 어디로 가시며 걷는 동안 기분이 어떻습니까?	Bạn đã nói rằng bạn thích đi bộ. Hãy kể thêm về những gì bạn làm khi đi bộ. Bạn thường đi đến đâu và bạn cảm thấy thế nào khi đi bộ?	"- I enjoy going for walks, and it is one of my favorite daily activities.
- When I go walking, I usually do light activities such as listening to music, thinking about my day, or sometimes talking with a friend. I don’t walk fast because I want to relax and enjoy the surroundings.
- I usually go walking in the evening after dinner or early in the morning on weekends.
- The place I go to most often is a nearby park or a quiet street close to my house. These places are clean and safe, and there are many trees, so the air feels fresh.
- I usually go walking alone, but sometimes I walk with a family member or a close friend.
- I go walking about three to four times a week, depending on my schedule and the weather.
- When I walk, I feel calm and comfortable. Walking helps me reduce stress, clear my mind, and improve my health. That is why I really enjoy walking and try to make it a regular habit in my life."		https://luandai123.github.io/OpicTest/Walking_2.mp3	https://luandai123.github.io/OpicTest/K_Walking_2.mp3
Walking	걷기	Đi bộ	Favorite time for walking and reasons	걷기 좋아하는 시간대와 이유	Thời điểm yêu thích để đi bộ và lý do	3	What is your favorite time of day to walking? Why? Tell me about it in as much detail as possible	하루 중 가장 좋아하는 산책 시간은 언제입니까? 이유는 무엇입니까? 가능한 한 자세히 이야기해 주십시오.	Thời điểm bạn thích đi bộ nhất trong ngày là khi nào? Tại sao? Hãy kể chi tiết nhất có thể.	"- My favorite time of day to go walking is in the evening. I usually go walking after dinner, around 7 or 8 p.m. At that time, the weather is cooler, and the sun is not too strong, so I feel more comfortable. I don’t like walking in the afternoon because it is usually hot and tiring.
- In the evening, the streets and parks near my house are quieter and more relaxing. I enjoy seeing people walking, exercising, or spending time with their families. When I walk in the evening, I usually listen to music or just think about my day. It helps me relax after a long day of work or study.
- Walking in the evening also helps me sleep better. After I get home, I feel calm and less stressed. That is why evening is my favorite time to go walking, and I try to keep this habit as often as possible."		https://luandai123.github.io/OpicTest/Walking_3.mp3	https://luandai123.github.io/OpicTest/K_Walking_3.mp3
Walking	걷기	Đi bộ	Daily walking duration, distance, and frequency	하루 걷기 시간, 거리, 빈도	Thời gian, quãng đường và tần suất đi bộ mỗi ngày	4	How long do you typically spend walking each day? How far do you walk and how frequently? Please describe your typical daily walking schedule	보통 하루에 얼마나 오랫동안 걷습니까? 얼마나 멀리, 얼마나 자주 걷습니까? 평소의 걷기 일정을 설명해 주십시오.	Bạn thường dành bao lâu để đi bộ mỗi ngày? Bạn đi bộ bao xa và thường xuyên như thế nào? Hãy mô tả lịch trình đi bộ hàng ngày thông thường của bạn.	"- On a typical day, I spend about thirty to forty minutes walking. I usually walk around two to three kilometers, depending on how much time I have. I try to go walking at least five days a week, so it has become a regular habit for me.
- My walking schedule is quite simple. On weekdays, I usually go walking in the evening after dinner. I leave my house around 7 p.m. and walk around the park or along the quiet streets near my home. On weekends, I sometimes walk in the morning if the weather is nice, and I walk a little longer than usual.
- While walking, I don’t rush. I walk at a comfortable pace and enjoy the time. Sometimes I listen to music, and sometimes I just relax and think. Walking every day helps me stay healthy and clear my mind, so I try to keep this routine as much as possible."		https://luandai123.github.io/OpicTest/Walking_4.mp3	https://luandai123.github.io/OpicTest/K_Walking_4.mp3
Walking	걷기	Đi bộ	Benefits of walking	걷기의 장점	Lợi ích của việc đi bộ	5	What are some benefits of incorporating walking into your daily routine? Tell me about it in as much detail as possible	일상생활에 걷기를 포함시키면 어떤 이점이 있습니까? 가능한 한 자세히 이야기해 주십시오.	Việc đưa đi bộ vào thói quen hàng ngày mang lại những lợi ích gì? Hãy kể chi tiết nhất có thể.	"- Walking every day brings many good things for my body and mind.
- First, walking helps me stay healthy. I don’t need special tools, but I can still burn calories, make my heart stronger, and keep my body active. When I walk often, I feel less tired and more comfortable.
- Walking also helps me reduce stress. I usually walk in the morning or in the evening after work. When I walk, I can relax and stop thinking about my problems. Walking in a quiet place like a park or near my house makes me feel calm. Sometimes I listen to music while walking, and it makes me feel happier.
- Besides that, walking helps my mood and sleep. After walking, I feel more positive and peaceful. At night, I can sleep better and fall asleep faster. In short, walking is a simple and useful habit. It helps me stay healthy, feel relaxed, and enjoy life more."		https://luandai123.github.io/OpicTest/Walking_5.mp3	https://luandai123.github.io/OpicTest/K_Walking_5.mp3
Walking	걷기	Đi bộ	Walking preferences (past → now)	걷기 시작한 계기와 변화	Lý do bắt đầu đi bộ và sự thay đổi theo thời gian	6	When did you start walking regularly? What motivated you to begin walking	언제부터 규칙적으로 걷기 시작하셨습니까? 걷기를 시작하게 된 계기는 무엇입니까?	Bạn bắt đầu đi bộ đều đặn từ khi nào? Điều gì đã thúc đẩy bạn bắt đầu đi bộ?	"- I started walking regularly about two years ago. At that time, I was very busy with work and spent most of my day sitting. I didn’t exercise much, and I often felt tired and stressed. One day, I realized that I needed to change my lifestyle to be healthier.
- The main motivation for me to begin walking was my health. I wanted to lose a little weight and improve my energy level, but I didn’t want to do difficult exercises. Walking was easy, free, and suitable for my schedule. I started with short walks in the evening around my neighborhood.
- After a few weeks, I noticed many positive changes. I felt more relaxed, slept better, and had more energy during the day. Because of these benefits, walking became a habit.
- Now, I continue walking regularly because it helps me stay healthy, reduce stress, and enjoy some quiet time for myself."		https://luandai123.github.io/OpicTest/Walking_6.mp3	https://luandai123.github.io/OpicTest/K_Walking_6.mp3
